identity_key,contact_key,identity_type,identity_value,match_confidence,is_primary
ID00022-03,CT00022,badge_id,BDG-000022,0.77,0
ID00022-04,CT00022,CRM contact id,CRM-000022,0.75,0
ID00023-01,CT00023,email,amelie.koch23@langeconnectkg.com,1.0,1
ID00023-02,CT00023,badge_id,BDG-000023,0.86,0
ID00023-03,CT00023,mobile,+49 151 36672234,0.82,0
ID00023-04,CT00023,CRM contact id,CRM-000023,0.78,0
ID00024-01,CT00024,email,tom.wolf24@hoffmannsolutionsag.com,1.0,1
ID00024-02,CT00024,cookie,ck_000024_9190,0.91,0
ID00024-03,CT00024,badge_id,BDG-000024,0.82,0
ID00024-04,CT00024,mobile,+49 151 24413864,0.75,0
ID00024-05,CT00024,CRM contact id,CRM-000024,0.92,0
ID00025-01,CT00025,email,anna.braun25@wagnerpartnersgroup.com,1.0,1
ID00025-02,CT00025,cookie,ck_000025_8674,0.95,0
ID00025-03,CT00025,CRM contact id,CRM-000025,0.84,0
ID00026-01,CT00026,email,paula.richter26@wernereventholding.com,1.0,1
ID00026-02,CT00026,badge_id,BDG-000026,0.86,0
ID00026-03,CT00026,mobile,+49 151 92280734,0.8,0
ID00026-04,CT00026,CRM contact id,CRM-000026,0.75,0
ID00027-01,CT00027,email,luca.wagner27@schmidtpartnersag.com,1.0,1
ID00027-02,CT00027,cookie,ck_000027_5193,0.82,0
ID00027-03,CT00027,mobile,+49 151 98013189,0.85,0
ID00028-01,CT00028,email,clara.hoffmann28@langesystemsholding.com,1.0,1
ID00028-02,CT00028,cookie,ck_000028_4537,0.75,0
ID00028-03,CT00028,mobile,+49 151 35920053,0.86,0
ID00028-04,CT00028,CRM contact id,CRM-000028,0.92,0
ID00029-01,CT00029,email,tom.becker29@kochserviceskg.com,1.0,1
ID00029-02,CT00029,badge_id,BDG-000029,0.87,0
ID00030-01,CT00030,email,tom.kruger30@wagnersolutionsltd.com,1.0,1
ID00030-02,CT00030,CRM contact id,CRM-000030,0.8,0
ID00031-01,CT00031,email,jonas.bauer31@kochsolutionsltd.com,1.0,1
ID00031-02,CT00031,cookie,ck_000031_5920,0.87,0
ID00031-03,CT00031,mobile,+49 151 53579429,0.93,0
ID00031-04,CT00031,CRM contact id,CRM-000031,0.89,0
ID00032-01,CT00032,email,ben.lange32@schmidtsolutionsgroup.com,1.0,1
ID00032-02,CT00032,badge_id,BDG-000032,0.73,0
ID00032-03,CT00032,mobile,+49 151 53866598,0.86,0
ID00032-04,CT00032,CRM contact id,CRM-000032,0.98,0
ID00033-01,CT00033,email,amelie.werner33@kleintradeag.com,1.0,1
ID00033-02,CT00033,cookie,ck_000033_2393,0.86,0
ID00033-03,CT00033,mobile,+49 151 74548325,0.87,0
ID00033-04,CT00033,CRM contact id,CRM-000033,0.89,0
ID00034-01,CT00034,email,finn.hartmann34@hartmannsystemsltd.com,1.0,1
ID00034-02,CT00034,badge_id,BDG-000034,0.99,0
ID00035-01,CT00035,email,mia.werner35@meyerconsultingkg.com,1.0,1
ID00035-02,CT00035,CRM contact id,CRM-000035,0.84,0
ID00036-01,CT00036,email,anna.wolf36@kleinconsultingag.com,1.0,1
ID00036-02,CT00036,cookie,ck_000036_1984,0.77,0
ID00036-03,CT00036,mobile,+49 151 97880113,0.98,0
ID00036-04,CT00036,CRM contact id,CRM-000036,0.95,0
ID00037-01,CT00037,email,luca.neumann37@neumanngroupholding.com,1.0,1
ID00037-02,CT00037,cookie,ck_000037_9202,0.87,0
ID00037-03,CT00037,mobile,+49 151 50926679,0.81,0
ID00037-04,CT00037,CRM contact id,CRM-000037,0.81,0
ID00038-01,CT00038,email,paul.neumann38@schmidtdigitalltd.com,1.0,1
ID00038-02,CT00038,mobile,+49 151 79889565,0.98,0
ID00039-01,CT00039,email,julia.koch39@kleingroupgroup.com,1.0,1
ID00039-02,CT00039,cookie,ck_000039_9582,0.84,0
ID00040-01,CT00040,email,marie.schulz40@langesolutionsag.com,1.0,1
ID00040-02,CT00040,cookie,ck_000040_5485,0.93,0
ID00040-03,CT00040,badge_id,BDG-000040,0.93,0
ID00040-04,CT00040,CRM contact id,CRM-000040,0.78,0
ID00041-01,CT00041,email,luca.meyer41@wagnerpartnersgroup.com,1.0,1
ID00041-02,CT00041,cookie,ck_000041_1245,0.98,0
ID00041-03,CT00041,badge_id,BDG-000041,0.74,0
ID00042-01,CT00042,email,julian.werner42@hartmanntradegmbh.com,1.0,1
ID00042-02,CT00042,mobile,+49 151 70614013,0.84,0
ID00043-01,CT00043,email,elena.koch43@braunpartnersag.com,1.0,1
ID00043-02,CT00043,cookie,ck_000043_7921,0.89,0
ID00043-03,CT00043,badge_id,BDG-000043,0.85,0
ID00043-04,CT00043,CRM contact id,CRM-000043,0.77,0
ID00044-01,CT00044,email,marie.schmitt44@hoffmannfairgroup.com,1.0,1
ID00044-02,CT00044,CRM contact id,CRM-000044,0.89,0
ID00045-01,CT00045,email,clara.hartmann45@bauerconsultingltd.com,1.0,1
ID00045-02,CT00045,badge_id,BDG-000045,0.8,0
ID00046-01,CT00046,email,max.schulz46@kochdigitalag.com,1.0,1
ID00046-02,CT00046,cookie,ck_000046_8794,0.83,0
ID00046-03,CT00046,badge_id,BDG-000046,0.96,0
ID00046-04,CT00046,mobile,+49 151 16565770,0.77,0
ID00046-05,CT00046,CRM contact id,CRM-000046,0.76,0
ID00047-01,CT00047,email,ben.lange47@wernermarketag.com,1.0,1
ID00047-02,CT00047,badge_id,BDG-000047,0.93,0
ID00047-03,CT00047,mobile,+49 151 19082067,0.92,0
ID00048-01,CT00048,email,clara.klein48@meyerexpose.com,1.0,1
ID00048-02,CT00048,cookie,ck_000048_5705,0.88,0
ID00048-03,CT00048,badge_id,BDG-000048,0.99,0
ID00048-04,CT00048,mobile,+49 151 92448605,0.87,0
ID00048-05,CT00048,CRM contact id,CRM-000048,0.94,0
ID00049-01,CT00049,email,elena.werner49@hartmanneventgroup.com,1.0,1
ID00049-02,CT00049,cookie,ck_000049_6728,0.94,0
ID00049-03,CT00049,badge_id,BDG-000049,0.79,0
ID00049-04,CT00049,mobile,+49 151 78006730,0.87,0
ID00050-01,CT00050,email,david.wolf50@hartmannsystemsag.com,1.0,1
ID00050-02,CT00050,cookie,ck_000050_8546,0.96,0
ID00050-03,CT00050,badge_id,BDG-000050,0.95,0
ID00050-04,CT00050,mobile,+49 151 84514623,0.86,0
ID00050-05,CT00050,CRM contact id,CRM-000050,0.74,0
ID00051-01,CT00051,email,emma.richter51@kochdigitalholding.com,1.0,1
ID00051-02,CT00051,cookie,ck_000051_9143,0.82,0
ID00051-03,CT00051,mobile,+49 151 50576475,0.77,0
ID00051-04,CT00051,CRM contact id,CRM-000051,0.97,0
ID00052-01,CT00052,email,mia.hartmann52@schmidtdigitalgmbh.com,1.0,1
ID00052-02,CT00052,badge_id,BDG-000052,0.82,0
ID00052-03,CT00052,CRM contact id,CRM-000052,0.91,0
ID00053-01,CT00053,email,noah.wagner53@kochconnectgroup.com,1.0,1
ID00053-02,CT00053,cookie,ck_000053_8227,0.79,0
ID00053-03,CT00053,badge_id,BDG-000053,0.98,0
ID00053-04,CT00053,CRM contact id,CRM-000053,0.87,0
ID00054-01,CT00054,email,laura.hoffmann54@kleinmarketholding.com,1.0,1
ID00054-02,CT00054,cookie,ck_000054_1826,0.82,0
ID00054-03,CT00054,badge_id,BDG-000054,0.91,0
ID00055-01,CT00055,email,sarah.hoffmann55@meyerservicesag.com,1.0,1
ID00055-02,CT00055,cookie,ck_000055_4666,0.95,0
ID00055-03,CT00055,CRM contact id,CRM-000055,0.84,0
ID00056-01,CT00056,email,anna.wagner56@langeeventgroup.com,1.0,1
ID00056-02,CT00056,badge_id,BDG-000056,0.84,0
ID00056-03,CT00056,CRM contact id,CRM-000056,0.76,0
ID00057-01,CT00057,email,lukas.braun57@kochfairgroup.com,1.0,1
ID00057-02,CT00057,badge_id,BDG-000057,0.87,0
ID00057-03,CT00057,CRM contact id,CRM-000057,0.88,0
ID00058-01,CT00058,email,luca.werner58@braunconnectltd.com,1.0,1
ID00058-02,CT00058,cookie,ck_000058_7389,0.88,0
ID00058-03,CT00058,badge_id,BDG-000058,0.87,0
ID00058-04,CT00058,CRM contact id,CRM-000058,0.99,0
ID00059-01,CT00059,email,marie.meyer59@braunsystemskg.com,1.0,1
ID00059-02,CT00059,mobile,+49 151 93914843,0.81,0
ID00059-03,CT00059,CRM contact id,CRM-000059,0.87,0
ID00060-01,CT00060,email,luca.schulz60@langeeventgroup.com,1.0,1
ID00060-02,CT00060,badge_id,BDG-000060,0.74,0
ID00060-03,CT00060,CRM contact id,CRM-000060,0.97,0
ID00061-01,CT00061,email,noah.schulz61@hartmannservicesag.com,1.0,1
ID00061-02,CT00061,cookie,ck_000061_9948,0.82,0
ID00062-01,CT00062,email,david.lange62@hartmannexpose.com,1.0,1
ID00062-02,CT00062,cookie,ck_000062_6119,0.73,0
ID00062-03,CT00062,badge_id,BDG-000062,0.84,0
ID00063-01,CT00063,email,nina.kruger63@hoffmanngroupgmbh.com,1.0,1
ID00063-02,CT00063,cookie,ck_000063_8942,0.75,0
ID00063-03,CT00063,badge_id,BDG-000063,0.76,0
ID00063-04,CT00063,mobile,+49 151 11906295,0.92,0
ID00064-01,CT00064,email,tim.lange64@hartmanntradese.com,1.0,1
ID00065-01,CT00065,email,tom.braun65@langedigitalgroup.com,1.0,1
ID00065-02,CT00065,cookie,ck_000065_9724,0.82,0
ID00065-03,CT00065,mobile,+49 151 81194737,0.95,0
ID00065-04,CT00065,CRM contact id,CRM-000065,0.9,0
ID00066-01,CT00066,email,lea.schmidt66@kochexpogroup.com,1.0,1
ID00067-01,CT00067,email,hanna.hartmann67@meyersolutionsse.com,1.0,1
ID00067-02,CT00067,cookie,ck_000067_5641,0.77,0
ID00067-03,CT00067,badge_id,BDG-000067,0.97,0
ID00068-01,CT00068,email,noah.becker68@bauerconsultingltd.com,1.0,1
ID00068-02,CT00068,cookie,ck_000068_2240,0.84,0
ID00069-01,CT00069,email,luca.wolf69@schmidtconnectse.com,1.0,1
ID00069-02,CT00069,badge_id,BDG-000069,0.76,0
ID00069-03,CT00069,CRM contact id,CRM-000069,0.91,0
ID00070-01,CT00070,email,david.schmidt70@schmidtgroupgmbh.com,1.0,1
ID00070-02,CT00070,CRM contact id,CRM-000070,0.84,0
ID00071-01,CT00071,email,julian.wagner71@meyerholdingsgroup.com,1.0,1
ID00071-02,CT00071,cookie,ck_000071_6571,0.95,0
ID00071-03,CT00071,mobile,+49 151 33705307,0.87,0
ID00072-01,CT00072,email,luca.bauer72@braunconnectse.com,1.0,1
ID00072-02,CT00072,cookie,ck_000072_7369,0.93,0
ID00072-03,CT00072,mobile,+49 151 12203625,0.73,0
ID00072-04,CT00072,CRM contact id,CRM-000072,0.75,0
ID00073-01,CT00073,email,johannes.hartmann73@kochtradeholding.com,1.0,1
ID00073-02,CT00073,badge_id,BDG-000073,0.73,0
ID00073-03,CT00073,mobile,+49 151 71228059,0.89,0
ID00074-01,CT00074,email,clara.becker74@wernerpartnerskg.com,1.0,1
ID00074-02,CT00074,cookie,ck_000074_4493,0.88,0
ID00074-03,CT00074,badge_id,BDG-000074,0.76,0
ID00074-04,CT00074,mobile,+49 151 84277128,0.76,0
ID00074-05,CT00074,CRM contact id,CRM-000074,0.75,0
ID00075-01,CT00075,email,julian.werner75@hoffmannconsultingltd.com,1.0,1
ID00075-02,CT00075,cookie,ck_000075_5439,0.84,0
ID00075-03,CT00075,badge_id,BDG-000075,0.91,0
ID00076-01,CT00076,email,noah.wagner76@wagnerholdingsag.com,1.0,1
ID00076-02,CT00076,cookie,ck_000076_4409,0.73,0
ID00076-03,CT00076,badge_id,BDG-000076,0.85,0
ID00076-04,CT00076,mobile,+49 151 17251463,0.89,0
ID00076-05,CT00076,CRM contact id,CRM-000076,0.81,0
ID00077-01,CT00077,email,johannes.hoffmann77@schmidtpartnersag.com,1.0,1
ID00077-02,CT00077,cookie,ck_000077_6336,0.93,0
ID00077-03,CT00077,badge_id,BDG-000077,0.92,0
ID00077-04,CT00077,CRM contact id,CRM-000077,0.85,0
ID00078-01,CT00078,email,lukas.schmidt78@meyergroupgroup.com,1.0,1
ID00078-02,CT00078,cookie,ck_000078_3084,0.91,0
ID00078-03,CT00078,badge_id,BDG-000078,0.95,0
ID00078-04,CT00078,mobile,+49 151 56113991,0.78,0
ID00078-05,CT00078,CRM contact id,CRM-000078,0.98,0
ID00079-01,CT00079,email,elena.schulz79@hoffmannsystemsltd.com,1.0,1
ID00079-02,CT00079,cookie,ck_000079_8114,0.78,0
ID00080-01,CT00080,email,elena.meyer80@kleingroupgroup.com,1.0,1
ID00080-02,CT00080,mobile,+49 151 27812303,0.82,0
ID00080-03,CT00080,CRM contact id,CRM-000080,0.85,0
ID00081-01,CT00081,email,max.schulz81@bauermarketltd.com,1.0,1
ID00081-02,CT00081,cookie,ck_000081_6454,0.73,0
ID00081-03,CT00081,badge_id,BDG-000081,0.87,0
ID00082-01,CT00082,email,clara.werner82@hartmannconnectse.com,1.0,1
ID00082-02,CT00082,badge_id,BDG-000082,0.87,0
ID00083-01,CT00083,email,amelie.lange83@braungroupholding.com,1.0,1
ID00083-02,CT00083,cookie,ck_000083_9215,0.94,0
ID00083-03,CT00083,badge_id,BDG-000083,0.96,0
ID00083-04,CT00083,mobile,+49 151 18808386,0.77,0
ID00084-01,CT00084,email,clara.wagner84@braunsolutionskg.com,1.0,1
ID00084-02,CT00084,cookie,ck_000084_7824,0.97,0
ID00084-03,CT00084,badge_id,BDG-000084,0.92,0
ID00084-04,CT00084,mobile,+49 151 18448940,0.73,0
ID00085-01,CT00085,email,paula.hartmann85@langeeventag.com,1.0,1
ID00085-02,CT00085,mobile,+49 151 40438156,0.85,0
ID00086-01,CT00086,email,amelie.schmidt86@neumannmarketgroup.com,1.0,1
ID00086-02,CT00086,badge_id,BDG-000086,0.78,0
ID00087-01,CT00087,email,paul.hoffmann87@wernerdigitalkg.com,1.0,1
ID00087-02,CT00087,badge_id,BDG-000087,0.89,0
ID00087-03,CT00087,mobile,+49 151 87004412,0.9,0
ID00088-01,CT00088,email,finn.hoffmann88@schmidtpartnersltd.com,1.0,1
ID00088-02,CT00088,cookie,ck_000088_6347,0.88,0
ID00088-03,CT00088,badge_id,BDG-000088,0.93,0
ID00088-04,CT00088,CRM contact id,CRM-000088,0.95,0
ID00089-01,CT00089,email,luca.wagner89@wagnerfairgmbh.com,1.0,1
ID00089-02,CT00089,cookie,ck_000089_1199,0.81,0
ID00089-03,CT00089,badge_id,BDG-000089,0.74,0
ID00089-04,CT00089,CRM contact id,CRM-000089,0.8,0
ID00090-01,CT00090,email,johannes.kruger90@wagnertradeag.com,1.0,1
ID00090-02,CT00090,cookie,ck_000090_5478,0.77,0
ID00090-03,CT00090,badge_id,BDG-000090,0.77,0
ID00090-04,CT00090,mobile,+49 151 15668405,0.94,0
ID00090-05,CT00090,CRM contact id,CRM-000090,0.87,0
ID00091-01,CT00091,email,mia.koch91@neumannholdingskg.com,1.0,1
ID00091-02,CT00091,cookie,ck_000091_5541,0.99,0
ID00091-03,CT00091,badge_id,BDG-000091,0.85,0
ID00091-04,CT00091,mobile,+49 151 94288202,0.91,0
ID00092-01,CT00092,email,paula.becker92@kochpartnerskg.com,1.0,1
ID00092-02,CT00092,cookie,ck_000092_6832,0.8,0
ID00092-03,CT00092,badge_id,BDG-000092,0.77,0
ID00093-01,CT00093,email,noah.schulz93@bauerfairholding.com,1.0,1
ID00093-02,CT00093,cookie,ck_000093_8944,0.81,0
ID00093-03,CT00093,mobile,+49 151 77562908,0.78,0
ID00093-04,CT00093,CRM contact id,CRM-000093,0.91,0
ID00094-01,CT00094,email,sarah.becker94@kleingroupgroup.com,1.0,1
ID00094-02,CT00094,cookie,ck_000094_5991,0.92,0
ID00094-03,CT00094,badge_id,BDG-000094,0.91,0
ID00094-04,CT00094,mobile,+49 151 27477597,0.98,0
ID00094-05,CT00094,CRM contact id,CRM-000094,0.73,0
ID00095-01,CT00095,email,lukas.kruger95@hartmannfairgmbh.com,1.0,1
ID00095-02,CT00095,mobile,+49 151 34800996,0.9,0
ID00095-03,CT00095,CRM contact id,CRM-000095,0.98,0
ID00096-01,CT00096,email,paul.neumann96@kocheventag.com,1.0,1
ID00096-02,CT00096,cookie,ck_000096_9800,0.98,0
ID00096-03,CT00096,badge_id,BDG-000096,0.95,0
ID00096-04,CT00096,mobile,+49 151 69010948,0.9,0
ID00096-05,CT00096,CRM contact id,CRM-000096,0.83,0
ID00097-01,CT00097,email,lea.koch97@wagnersystemsholding.com,1.0,1
ID00097-02,CT00097,cookie,ck_000097_2895,0.8,0
ID00097-03,CT00097,mobile,+49 151 40316218,0.87,0
ID00097-04,CT00097,CRM contact id,CRM-000097,0.95,0
ID00098-01,CT00098,email,elena.zimmermann98@langemediaholding.com,1.0,1
ID00098-02,CT00098,CRM contact id,CRM-000098,0.81,0
ID00099-01,CT00099,email,noah.braun99@neumannmediaag.com,1.0,1
ID00099-02,CT00099,cookie,ck_000099_3414,0.75,0
ID00099-03,CT00099,badge_id,BDG-000099,0.89,0
ID00099-04,CT00099,mobile,+49 151 17093731,0.94,0
ID00099-05,CT00099,CRM contact id,CRM-000099,0.82,0
ID00100-01,CT00100,email,luca.wolf100@hoffmanndigitalse.com,1.0,1
ID00100-02,CT00100,badge_id,BDG-000100,0.99,0
ID00100-03,CT00100,CRM contact id,CRM-000100,0.95,0
ID00101-01,CT00101,email,mia.hoffmann101@schmidtdigitalholding.com,1.0,1
ID00101-02,CT00101,badge_id,BDG-000101,0.87,0
ID00101-03,CT00101,mobile,+49 151 62530781,0.79,0
ID00102-01,CT00102,email,sofia.werner102@schmidtexpogroup.com,1.0,1
ID00102-02,CT00102,cookie,ck_000102_2594,0.81,0
ID00102-03,CT00102,badge_id,BDG-000102,0.9,0
ID00102-04,CT00102,mobile,+49 151 89528254,0.74,0
ID00103-01,CT00103,email,julian.klein103@wernerpartnerskg.com,1.0,1
ID00103-02,CT00103,cookie,ck_000103_8695,0.73,0
ID00103-03,CT00103,badge_id,BDG-000103,0.87,0
ID00103-04,CT00103,CRM contact id,CRM-000103,0.85,0
ID00104-01,CT00104,email,johannes.wolf104@meyerpartnersse.com,1.0,1
ID00104-02,CT00104,cookie,ck_000104_5871,0.83,0
ID00104-03,CT00104,badge_id,BDG-000104,0.75,0
ID00104-04,CT00104,mobile,+49 151 86024718,0.94,0
ID00104-05,CT00104,CRM contact id,CRM-000104,0.93,0
ID00105-01,CT00105,email,julia.klein105@kleinsolutionsag.com,1.0,1
ID00105-02,CT00105,mobile,+49 151 87422596,0.85,0
ID00106-01,CT00106,email,paula.hoffmann106@kleinpartnersag.com,1.0,1
ID00106-02,CT00106,cookie,ck_000106_2055,0.77,0
ID00106-03,CT00106,badge_id,BDG-000106,0.76,0
ID00106-04,CT00106,CRM contact id,CRM-000106,0.76,0
ID00107-01,CT00107,email,anna.koch107@hartmannpartnersse.com,1.0,1
ID00107-02,CT00107,badge_id,BDG-000107,0.95,0
ID00107-03,CT00107,CRM contact id,CRM-000107,0.95,0
ID00108-01,CT00108,email,clara.wolf108@neumannconnectag.com,1.0,1
ID00108-02,CT00108,cookie,ck_000108_9605,0.85,0
ID00108-03,CT00108,badge_id,BDG-000108,0.81,0
ID00108-04,CT00108,CRM contact id,CRM-000108,0.78,0
ID00109-01,CT00109,email,david.schulz109@hoffmannmediakg.com,1.0,1
ID00109-02,CT00109,CRM contact id,CRM-000109,0.73,0
ID00110-01,CT00110,email,elena.werner110@hoffmanngroupltd.com,1.0,1
ID00110-02,CT00110,badge_id,BDG-000110,0.8,0
ID00111-01,CT00111,email,max.bauer111@wagnertradekg.com,1.0,1
ID00112-01,CT00112,email,lea.wagner112@hoffmanngroupgmbh.com,1.0,1
ID00112-02,CT00112,badge_id,BDG-000112,0.91,0
ID00113-01,CT00113,email,emma.werner113@wagnermarketltd.com,1.0,1
ID00113-02,CT00113,cookie,ck_000113_7447,0.98,0
ID00113-03,CT00113,mobile,+49 151 84964625,0.89,0
ID00114-01,CT00114,email,tim.wagner114@braunsystemsse.com,1.0,1
ID00114-02,CT00114,cookie,ck_000114_9615,0.93,0
ID00114-03,CT00114,CRM contact id,CRM-000114,0.77,0
ID00115-01,CT00115,email,julian.richter115@neumannconsultingholding.com,1.0,1
ID00115-02,CT00115,cookie,ck_000115_3391,0.8,0
ID00115-03,CT00115,badge_id,BDG-000115,0.82,0
ID00115-04,CT00115,CRM contact id,CRM-000115,0.76,0
ID00116-01,CT00116,email,nina.braun116@wagnermarketltd.com,1.0,1
ID00117-01,CT00117,email,finn.schmidt117@wernerconnectgroup.com,1.0,1
ID00117-02,CT00117,cookie,ck_000117_6557,0.76,0
ID00117-03,CT00117,badge_id,BDG-000117,0.76,0
ID00117-04,CT00117,mobile,+49 151 27162621,0.85,0
ID00118-01,CT00118,email,laura.neumann118@neumanngroupltd.com,1.0,1
ID00118-02,CT00118,CRM contact id,CRM-000118,0.78,0
ID00119-01,CT00119,email,ben.zimmermann119@bauertradeltd.com,1.0,1
ID00119-02,CT00119,cookie,ck_000119_4337,0.77,0
ID00119-03,CT00119,badge_id,BDG-000119,0.87,0
ID00119-04,CT00119,CRM contact id,CRM-000119,0.93,0
ID00120-01,CT00120,email,felix.kruger120@hoffmannpartnersag.com,1.0,1
ID00120-02,CT00120,cookie,ck_000120_2328,0.94,0
ID00120-03,CT00120,mobile,+49 151 89752745,0.9,0
ID00120-04,CT00120,CRM contact id,CRM-000120,0.89,0
ID00121-01,CT00121,email,mia.wolf121@bauerholdingsltd.com,1.0,1
ID00121-02,CT00121,cookie,ck_000121_4933,0.74,0
ID00121-03,CT00121,mobile,+49 151 48243447,0.89,0
ID00122-01,CT00122,email,emma.becker122@bauerdigitalholding.com,1.0,1
ID00122-02,CT00122,cookie,ck_000122_7931,0.92,0
ID00122-03,CT00122,CRM contact id,CRM-000122,0.73,0
ID00123-01,CT00123,email,nina.hoffmann123@schmidtexpogroup.com,1.0,1
ID00123-02,CT00123,cookie,ck_000123_5841,0.73,0
ID00123-03,CT00123,badge_id,BDG-000123,0.75,0
ID00123-04,CT00123,mobile,+49 151 72365138,0.9,0
ID00124-01,CT00124,email,laura.neumann124@kleinholdingskg.com,1.0,1
ID00124-02,CT00124,cookie,ck_000124_5876,0.88,0
ID00124-03,CT00124,badge_id,BDG-000124,0.94,0
ID00124-04,CT00124,mobile,+49 151 38329117,0.77,0
ID00125-01,CT00125,email,noah.richter125@braungroupholding.com,1.0,1
ID00125-02,CT00125,mobile,+49 151 63015631,0.94,0
ID00125-03,CT00125,CRM contact id,CRM-000125,0.77,0
ID00126-01,CT00126,email,paula.meyer126@hoffmannexpoltd.com,1.0,1
ID00126-02,CT00126,cookie,ck_000126_1357,0.76,0
ID00126-03,CT00126,badge_id,BDG-000126,0.85,0
ID00127-01,CT00127,email,hanna.klein127@meyereventkg.com,1.0,1
ID00128-01,CT00128,email,lukas.koch128@neumannsolutionsgroup.com,1.0,1
